id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbStandardBikes,nbEBikes,nbEmptyDocks,nbDocks
143,"Pont Street, Knightsbridge",001114,51.4968865,-0.161203828,true,false,1279211400000,,false,7,7,0,17,24
144,"Kennington Cross, Kennington",001093,51.48894022,-0.111435796,true,false,1279211580000,,false,29,29,0,18,47
145,"Ilchester Place, Kensington",001115,51.50074359,-0.202759212,true,false,1279212180000,,false,9,7,2,15,24
146,"Vauxhall Bridge , Pimlico",001046,51.48836528,-0.129361842,true,false,1279212360000,,false,17,17,0,18,35
147,"Portugal Street, Holborn",003456,51.51494305,-0.11614642,true,false,1279214760000,,false,0,0,0,16,16
148,"Tachbrook Street, Victoria",000965,51.49211134,-0.138364847,true,false,,,false,16,16,0,0,16
149,"Kennington Road Post Office, Oval",001073,51.48478899,-0.110683213,true,false,1279215360000,,false,18,17,1,0,18
150,"Holy Trinity Brompton, Knightsbridge",001002,51.49705603,-0.168917077,true,false,1279215540000,,false,11,10,1,17,28
151,"Chepstow Villas, Notting Hill",001120,51.51213691,-0.201554966,true,false,1279215720000,,false,16,13,3,10,26
152,"Hampton Street, Walworth",001118,51.49217002,-0.101536865,true,false,1279215900000,,false,19,18,1,2,21
153,"Bayswater Road, Hyde Park",001096,51.511933,-0.174411,true,false,1279216080000,,false,17,14,3,10,27
154,"Waterloo Station 3, Waterloo",001072,51.50379168,-0.11282408,true,false,,,false,35,33,2,0,35
155,"Lexham Gardens, Kensington",001121,51.49586666,-0.191933711,true,false,1279272660000,,false,11,11,0,8,19
156,"New Kent Road, The Borough",000966,51.49443626,-0.092921165,true,false,1279273080000,,false,32,32,0,1,33
157,"Wright's Lane, Kensington",001094,51.50039792,-0.193068385,true,false,1279273200000,,false,35,35,0,2,37
158,"Trebovir Road, Earl's Court",001113,51.49085368,-0.196170309,true,false,1279273320000,,false,5,5,0,13,18
160,"Waterloo Place, St. James's",003458,51.50663341,-0.131773845,true,false,1279274280000,,false,3,3,0,17,20
161,"Guildhouse Street, Victoria",003478,51.49234577,-0.141334487,true,false,1279286940000,,false,14,14,0,2,16
162,"Southampton Place, Holborn",001123,51.51760685,-0.121328408,true,false,1279287120000,,false,5,5,0,15,20
163,"Sloane Avenue, Knightsbridge",003461,51.4931848,-0.167894973,true,false,1279287300000,,false,18,18,0,9,27
164,"Cleveland Gardens, Bayswater",001178,51.515607,-0.183118788,true,false,1279287600000,,false,8,7,1,8,16
165,"Orsett Terrace, Bayswater",002585,51.517932,-0.183716959,true,false,1279287960000,,false,8,5,3,7,15
166,"Seville Street, Knightsbridge",001177,51.50185512,-0.159237081,true,false,1279288140000,,false,15,15,0,12,27
167,"Eccleston Place, Victoria",003465,51.49395092,-0.147624377,true,false,,,false,12,12,0,7,19
168,"Argyll Road, Kensington",003463,51.50040123,-0.195455928,true,false,1279289400000,,false,4,4,0,15,19
169,"Porchester Place, Paddington",003477,51.51474612,-0.165164288,true,false,1279289760000,,false,4,4,0,14,18
170,"Hardwick Street, Clerkenwell",001057,51.52784273,-0.108068155,true,false,1279290180000,,false,30,30,0,0,30
171,"Collingham Gardens, Earl's Court",003459,51.4916156,-0.186753859,true,false,1279291200000,,false,9,8,1,5,14
172,"Sumner Place, South Kensington",001124,51.49121192,-0.173715911,true,false,1279291500000,,false,7,7,0,12,19
173,"Waterloo Road, South Bank",001176,51.50486,-0.113001,true,false,1279292700000,,false,14,14,0,1,15
174,"Strand, Strand",001100,51.512582,-0.1150573,true,false,1279295940000,,false,2,2,0,33,35
175,"Worship Street, Shoreditch",000997,51.521668,-0.079608554,true,false,1529674980000,,false,16,16,0,35,51
176,"Gloucester Terrace, Bayswater",001173,51.51791921,-0.188098863,true,false,1279297560000,,false,11,9,2,12,23
177,"Ashley Place, Victoria",001122,51.49616092,-0.140947636,true,false,1279297740000,,false,21,21,0,4,25
178,"Warwick Square, Pimlico",003460,51.48985626,-0.141923621,true,false,1279297920000,,false,18,14,4,1,19
180,"North Audley Street, Mayfair",001126,51.5129118,-0.153645496,true,false,1279298220000,,false,5,5,0,12,17
181,"Belgrave Square, Belgravia",003473,51.49941247,-0.152317537,true,false,1279298460000,,false,15,15,0,6,21
182,"Bell Street , Marylebone",001166,51.52202903,-0.165842551,true,false,1279363140000,,false,4,4,0,14,18
183,"Riverlight North, Nine Elms",001165,51.482362,-0.13612398,true,false,1279364160000,,false,20,19,1,4,24
184,"Portland Place, Marylebone",001164,51.52071513,-0.14521173,true,false,1279364280000,,false,25,25,0,9,34
185,"Alderney Street, Pimlico",001174,51.48805753,-0.140741432,true,false,1279365360000,,false,13,11,2,1,14
186,"South Wharf Road, Paddington",001167,51.51733558,-0.175810943,true,false,1279365480000,,false,16,14,2,0,16
187,"Queen's Gate (South), South Kensington",001172,51.49247977,-0.178433004,true,false,1279365720000,,false,15,15,0,10,25
188,"Nutford Place, Marylebone",001112,51.5165179,-0.164393768,true,false,1279376760000,,false,8,7,1,10,18
189,"Claremont Square, Angel",001104,51.53166681,-0.109914711,true,false,1279377180000,,false,8,7,1,10,18
190,"Rampayne Street, Pimlico",001106,51.48997562,-0.132845681,true,false,1279381080000,,false,16,16,0,5,21
191,"Hyde Park Corner, Hyde Park",001075,51.50311799,-0.153520935,true,false,1279383120000,,false,2,2,0,34,36
192,"Wardour Street, Soho",001163,51.51251523,-0.133201961,true,false,1279383300000,,false,6,6,0,10,16
193,"Bankside Mix, Bankside",000963,51.50581776,-0.100186337,true,false,1279392479356,,false,44,43,1,16,60
194,"Hop Exchange, The Borough",000960,51.50462759,-0.091773776,true,false,1279392479395,,false,31,31,0,25,56
195,"Milroy Walk, South Bank",000959,51.50724437,-0.106237501,true,false,1279392479432,,false,21,21,0,9,30
196,"Union Street, The Borough",000961,51.50368837,-0.098497684,true,false,1279392479471,,false,4,4,0,13,17
197,"Stamford Street, South Bank",000962,51.50556905,-0.111606696,true,false,1279392479520,,false,19,19,0,8,27
199,"Great Tower Street, Monument",001080,51.51048489,-0.082989638,true,false,1279441800000,,false,4,4,0,20,24
200,"LMU Commercial Road, Whitechapel",001105,51.51492456,-0.066078037,true,false,1279441920000,,false,9,9,0,5,14
201,"Dorset Square, Marylebone",001162,51.5225965,-0.161113413,true,false,1279444080000,,false,13,13,0,3,16
202,"Leman Street, Aldgate",001102,51.51236389,-0.06954201,true,false,1279444320000,,false,17,15,2,20,37
203,"West Smithfield Rotunda, Farringdon",001040,51.51821864,-0.100791005,true,false,1279445580000,,false,0,0,0,15,15
204,"Margery Street, Clerkenwell",003468,51.52659961,-0.112432615,true,false,1279466640000,,false,17,16,1,2,19
206,"New Road 1 , Whitechapel",001171,51.518154,-0.062697,true,false,1279471380000,,false,25,24,1,11,36
207,"Grosvenor Crescent, Belgravia",001169,51.50135267,-0.153194766,true,false,1279558140000,,false,18,18,0,0,18
208,"Mallory Street, Marylebone",001175,51.52505151,-0.166304359,true,false,1279472580000,,false,3,3,0,17,20
209,"Denyer Street, Knightsbridge",003454,51.49358391,-0.165101392,true,false,1279529160000,,false,12,12,0,18,30
210,"Hinde Street, Marylebone",003476,51.51681444,-0.151926305,true,false,1279535160000,,false,8,8,0,13,21
211,"Cadogan Place, Knightsbridge",003469,51.49464523,-0.158105512,true,false,1279535820000,,false,23,22,1,11,34
212,"Campden Hill Road, Notting Hill",003487,51.50658458,-0.199004026,true,false,1279536840000,,false,10,7,3,7,17
213,"Wellington Arch, Hyde Park",001109,51.50274025,-0.149569201,true,false,1279537020000,,false,21,20,1,15,36
214,"Endsleigh Gardens, Euston",001079,51.52683806,-0.130504336,true,false,1279537200000,,false,26,26,0,6,32
215,"Moorfields, Moorgate",001092,51.51906932,-0.088285377,true,false,1279537380000,,false,15,15,0,39,54
216,"Old Brompton Road, South Kensington",003479,51.49094565,-0.181190899,true,false,1279537920000,,false,10,10,0,20,30
217,"Wormwood Street, Liverpool Street",002587,51.51615461,-0.082422399,true,false,1279538040000,,false,4,4,0,12,16
218,"St. Luke's Church, Chelsea",003486,51.48971651,-0.170194408,true,false,1279543740000,,false,0,0,0,20,20
219,"Bramham Gardens, Earl's Court",001183,51.49016361,-0.19039362,true,false,1279545900000,,false,22,22,0,7,29
